"header-authzone;fqdn*;zone_format*;allow_active_dir;allow_query;allow_transfer;allow_update;allow_update_forwarding;comment;create_underscore_zones;ddns_force_creation_timestamp_update;ddns_principal_group;ddns_principal_tracking;ddns_restrict_patterns;ddns_restrict_patterns_list;ddns_restrict_protected;ddns_restrict_secure;ddns_restrict_static;disable_forwarding;disabled;enable_fixed_rrset_order;external_primaries;external_secondaries;grid_primaries;grid_secondaries;is_multimaster;notify_delay;ns_group;prefix;_new_prefix;soa_default_ttl;soa_email;soa_expire;soa_mnames;soa_negative_ttl;soa_refresh;soa_retry;soa_serial_number;update_forwarding;view;zone_type"
"authzone;cdn3.unrealengine.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;download.epicgames.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;download2.epicgames.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;download3.epicgames.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;download4.epicgames.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;epicgames-download1.akamaized.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;fastly-download.epicgames.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;ccs.cdn.wup.shop.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;ccs.cdn.wup.shop.nintendo.net.edgesuite.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;geisha-wup.cdn.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;geisha-wup.cdn.nintendo.net.edgekey.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;idbe-wup.cdn.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;idbe-wup.cdn.nintendo.net.edgekey.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;ecs-lp1.hac.shop.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;receive-lp1.dg.srv.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;wup.shop.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;wup.eshop.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;hac.lp1.d4c.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;hac.lp1.eshop.nintendo.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs2.ww.prod.dl.playstation.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs2.ww.prod.dl.playstation.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
